symbol,name,last,change,changePct
RHI,Robert Half International Inc. Common Stock,116.04,3.11,2.754
RIO,Rio Tinto Plc Common Stock,72.72,3.64,5.269
RJF,Raymond James Financial Inc. Common Stock,103.79,4.32,4.343
RMD,ResMed Inc. Common Stock,255.36,11.05,4.523
RNG,RingCentral Inc. Class A Common Stock,107.79,5.29,5.161
ROK,Rockwell Automation Inc. Common Stock,268.48,7.46,2.858
ROL,Rollins Inc. Common Stock,33.76,0.33,0.987
ROP,Roper Technologies Inc. Common Stock,453.46,7.66,1.718
RPM,RPM International Inc. Common Stock,82.01,0.59,0.725
RRX,Regal Rexnord Corporation Common Stock,160.57,4.48,2.87
RS,Reliance Steel & Aluminum Co. Common Stock (DE),189.47,-0.57,-0.30
RSG,Republic Services Inc. Common Stock,130.03,0.97,0.752
RTX,Raytheon Technologies Corporation Common Stock,95.80,-1.82,-1.864
RY,Royal Bank Of Canada Common Stock,111.08,1.36,1.24
SAN,Banco Santander S.A. Sponsored ADR (Spain),3.43,0.17,5.215
SAP,SAP  SE ADS,114.49,3.76,3.396
SBSW,D/B/A Sibanye-Stillwater Limited ADS,17.05,-0.09,-0.525
SCCO,Southern Copper Corporation Common Stock,70.47,2.05,2.996
SCHW,Charles Schwab Corporation (The) Common Stock,88.94,5.77,6.938
SCI,Service Corporation International Common Stock,64.11,0.95,1.504
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,111.36,17.59,18.759
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),50.23,-0.12,-0.238
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,31.73,1.05,3.422
SHOP,Shopify Inc. Class A Subordinate Voting Shares,622.38,68.95,12.459
SHW,Sherwin-Williams Company (The) Common Stock,244.38,1.94,0.80
SJM,J.M. Smucker Company (The) New Common Stock,129.34,0.04,0.031
SJR,Shaw Communications Inc. Common Stock,30.44,0.37,1.23
SKM,SK Telecom Co. Ltd. Common Stock,26.38,0.77,3.007
SLB,Schlumberger N.V. Common Stock,37.88,-1.38,-3.515
SLF,Sun Life Financial Inc. Common Stock,54.85,1.39,2.60
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),6.89,0.11,1.622
SNA,Snap-On Incorporated Common Stock,206.22,3.63,1.792
SNAP,Snap Inc. Class A Common Stock,32.56,2.98,10.074
SNN,Smith & Nephew SNATS Inc. Common Stock,33.03,1.60,5.091
SNOW,Snowflake Inc. Class A Common Stock,197.84,27.06,15.845
SNP,China Petroleum & Chemical Corporation Common Stock,44.22,2.38,5.688
SNX,TD SYNNEX Corporation Common Stock,112.60,3.55,3.255
SO,Southern Company (The) Common Stock,68.52,-0.14,-0.204
SONY,Sony Group Corporation American Depositary Shares ,102.75,4.65,4.74
SPG,Simon Property Group Inc. Common Stock,131.33,2.45,1.901
SPGI,S&P Global Inc. Common Stock,392.23,4.84,1.249
SPOT,Spotify Technology S.A. Ordinary Shares,133.58,9.74,7.865
SQ,Block Inc. Class A Common Stock,116.05,12.96,12.572
SQM,Sociedad Quimica y Minera S.A. Common Stock,73.03,2.22,3.135
SRE,DBA Sempra Common Stock,154.37,-0.64,-0.413
SSL,Sasol Ltd. American Depositary Shares,22.53,0.64,2.924
STE,STERIS plc (Ireland) Ordinary Shares,227.04,4.80,2.16
STLA,Stellantis N.V. Common Shares,16.66,1.17,7.553
STM,STMicroelectronics N.V. Common Stock,42.06,3.19,8.207
STT,State Street Corporation Common Stock,87.45,3.48,4.144
STZ,Constellation Brands Inc. Common Stock,222.34,0.21,0.095
SU,Suncor Energy  Inc. Common Stock,29.92,0.21,0.707
SUI,Sun Communities Inc. Common Stock,175.08,2.51,1.454
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),11.90,0.56,4.938
SWK,Stanley Black & Decker Inc. Common Stock,148.40,2.64,1.811
SYF,Synchrony Financial Common Stock,37.67,1.53,4.234
SYK,Stryker Corporation Common Stock,262.16,7.82,3.075
SYY,Sysco Corporation Common Stock,80.08,2.29,2.944
T,AT&T Inc.,23.19,0.10,0.433
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),15.02,0.53,3.658
TAP,Molson Coors Beverage Company Class B Common Stock,52.13,1.28,2.517
TD,Toronto Dominion Bank (The) Common Stock,79.70,1.44,1.84
TDG,Transdigm Group Incorporated Common Stock,656.00,9.97,1.543
TDY,Teledyne Technologies Incorporated Common Stock,428.53,2.02,0.474
TECK,Teck Resources Ltd Ordinary Shares,37.53,-0.18,-0.477
TEF,Telefonica SA Common Stock,4.49,0.10,2.278
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,131.36,3.98,3.125
TFC,Truist Financial Corporation Common Stock,59.71,1.69,2.913
TFX,Teleflex Incorporated Common Stock,341.12,5.54,1.651
TGT,Target Corporation Common Stock,215.59,0.24,0.111
TJX,TJX Companies Inc. (The) Common Stock,62.54,0.82,1.329
TLK,PT Telekomunikasi Indonesia Tbk,32.67,0.22,0.678
TRGP,Targa Resources Inc. Common Stock,65.67,0.73,1.124
TRI,Thomson Reuters Corp Ordinary Shares,104.16,1.29,1.254
TRP,TC Energy Corporation Common Stock,53.62,-0.68,-1.252
TRU,TransUnion Common Stock,103.00,4.48,4.547
TRV,The Travelers Companies Inc. Common Stock,179.29,-0.90,-0.499
TS,Tenaris S.A. American Depositary Shares,26.55,0.07,0.264
TSN,Tyson Foods Inc. Common Stock,87.22,1.52,1.774
TT,Trane Technologies plc,156.50,4.21,2.764
TTE,TotalEnergies SE,50.11,0.35,0.703
TTM,Tata Motors Ltd Tata Motors Limited,28.46,0.86,3.116
TU,Telus Corporation Ordinary Shares,25.73,0.25,0.981
TWLO,Twilio Inc. Class A Common Stock,144.09,15.16,11.758
TWTR,Twitter Inc. Common Stock,35.37,1.40,4.121
TXT,Textron Inc. Common Stock,73.58,1.78,2.479
TYL,Tyler Technologies Inc. Common Stock,415.07,11.74,2.911
U,Unity Software Inc. Common Stock,87.73,10.45,13.522
UBER,Uber Technologies Inc. Common Stock,32.61,2.81,9.43
UBS,UBS Group AG Registered Ordinary Shares,18.08,0.97,5.669
UDR,UDR Inc. Common Stock,57.00,0.10,0.176
UHS,Universal Health Services Inc. Common Stock,149.70,0.72,0.483
UI,Ubiquiti Inc. Common Stock,265.83,10.87,4.263
UL,Unilever PLC Common Stock,45.08,0.69,1.554
UMC,United Microelectronics Corporation (NEW) Common Stock,9.34,0.38,4.241
UNP,Union Pacific Corporation Common Stock,264.15,4.02,1.545
UPS,United Parcel Service Inc. Common Stock,217.90,7.37,3.501
URI,United Rentals Inc. Common Stock,337.56,9.21,2.805
USB,U.S. Bancorp Common Stock,56.28,1.88,3.456
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,17.75,0.51,2.958
VEEV,Veeva Systems Inc. Class A Common Stock,184.82,10.79,6.20
VFC,V.F. Corporation Common Stock,56.65,1.62,2.944
VICI,VICI Properties Inc. Common Stock,27.29,0.31,1.149
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),10.01,0.18,1.831
VLO,Valero Energy Corporation Common Stock,84.94,0.53,0.628
VMC,Vulcan Materials Company (Holding Company) Common Stock,181.28,-0.73,-0.401
VMW,Vmware Inc. Common stock Class A,113.00,1.84,1.655
VST,Vistra Corp. Common Stock,22.59,0.26,1.164
VTR,Ventas Inc. Common Stock,58.54,0.32,0.55
W,Wayfair Inc. Class A Common Stock,119.15,6.35,5.629
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,93.64,4.00,4.462
WAT,Waters Corporation Common Stock,327.04,9.70,3.057
WBS,Webster Financial Corporation Common Stock,59.14,1.56,2.709
WCN,Waste Connections Inc. Common Shares,135.63,-0.30,-0.221
WEC,WEC Energy Group Inc. Common Stock,94.60,0.01,0.011
WELL,Welltower Inc. Common Stock,90.71,0.51,0.565
WFC,Wells Fargo & Company Common Stock,51.60,1.49,2.973
WFG,West Fraser Timber Co. Ltd Common stock,94.84,0.75,0.797
WHR,Whirlpool Corporation Common Stock,193.58,3.49,1.836
WIT,Wipro Limited Common Stock,7.95,0.28,3.651
WLK,Westlake Corporation Common Stock,118.21,2.52,2.178
WM,Waste Management Inc. Common Stock,154.50,-0.67,-0.432
WMB,Williams Companies Inc. (The) Common Stock,31.26,0.22,0.709
WOLF,Wolfspeed Inc. Common Stock,99.25,7.71,8.423
WPC,W. P. Carey Inc. REIT,79.35,-0.37,-0.464
WPM,Wheaton Precious Metals Corp Common Shares (Canada),47.18,0.26,0.554
WPP,WPP plc American Depositary Shares,69.37,3.49,5.298
WRB,W.R. Berkley Corporation Common Stock,94.04,-0.96,-1.011
WRK,Westrock Company Common Stock,47.34,1.30,2.824
WSM,Williams-Sonoma Inc. Common Stock (DE),152.45,3.94,2.653
WSO,Watsco Inc. Common Stock,293.85,0.66,0.225
WST,West Pharmaceutical Services Inc. Common Stock,396.76,11.33,2.94
WTRG,Essential Utilities Inc. Common Stock,47.31,-0.23,-0.484
WY,Weyerhaeuser Company Common Stock,39.27,-0.20,-0.507
XPEV,XPeng Inc. American depositary shares each representing two Class A ordinary shares,27.53,6.28,29.553
XYL,Xylem Inc. Common Stock New,87.10,1.59,1.859
YUM,Yum! Brands Inc.,119.55,4.90,4.274
YUMC,Yum China Holdings Inc. Common Stock,43.32,3.75,9.477
ZBH,Zimmer Biomet Holdings Inc. Common Stock,121.99,2.79,2.341
ZEN,Zendesk Inc. Common Stock,112.82,1.62,1.457
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,88.62,3.38,3.965
ZNH,China Southern Airlines Company Limited Common Stock,30.00,3.77,14.373
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.,26.19,4.32,19.753
ZTS,Zoetis Inc. Class A Common Stock,191.92,2.81,1.486
