symbol,name,last,change,changePct
CAH,Cardinal Health Inc. Common Stock,53.77,-0.16,-0.297
CAJ,Canon Inc. American Depositary Shares,24.27,0.51,2.146
CARR,Carrier Global Corporation Common Stock ,46.88,1.68,3.717
CAT,Caterpillar Inc. Common Stock,216.08,-0.38,-0.176
CB,Chubb Limited  Common Stock,210.97,3.52,1.697
CBRE,CBRE Group Inc Common Stock Class A,90.97,3.40,3.883
CCI,Crown Castle International Corp. (REIT) Common Stock,173.40,0.64,0.37
CCK,Crown Holdings Inc.,126.04,-1.04,-0.818
CCL,Carnival Corporation Common Stock,19.33,1.29,7.151
CE,Celanese Corporation Celanese Corporation Common Stock,142.24,3.70,2.671
CF,CF Industries Holdings Inc. Common Stock,88.16,-6.70,-7.063
CFG,Citizens Financial Group Inc. Common Stock,50.34,1.65,3.389
CHD,Church & Dwight Company Inc. Common Stock,97.09,-1.86,-1.88
CHT,Chunghwa Telecom Co. Ltd.,44.49,0.87,1.994
CHWY,Chewy Inc. Class A Common Stock,41.19,3.97,10.666
CI,Cigna Corporation Common Stock,237.50,4.42,1.896
CL,Colgate-Palmolive Company Common Stock,75.15,-0.34,-0.45
CLF,Cleveland-Cliffs Inc. Common Stock,26.18,0.84,3.315
CLR,Continental Resources Inc. Common Stock,57.00,0.26,0.458
CLVT,Clarivate Plc Ordinary Shares,15.23,0.81,5.617
CLX,Clorox Company (The) Common Stock,131.56,0.93,0.712
CM,Canadian Imperial Bank of Commerce Common Stock,127.28,2.62,2.102
CMA,Comerica Incorporated Common Stock,95.91,4.11,4.477
CMG,Chipotle Mexican Grill Inc. Common Stock,1554.74,61.09,4.09
CMI,Cummins Inc. Common Stock,205.26,6.79,3.421
CMS,CMS Energy Corporation Common Stock,66.47,-0.78,-1.16
CNA,CNA Financial Corporation Common Stock,47.38,0.70,1.50
CNC,Centene Corporation Common Stock,86.87,1.26,1.472
CNHI,CNH Industrial N.V. Common Shares,15.44,0.16,1.047
CNI,Canadian National Railway Company Common Stock,127.34,3.76,3.043
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,28.87,-0.01,-0.035
CNQ,Canadian Natural Resources Limited Common Stock,58.84,1.03,1.782
COF,Capital One Financial Corporation Common Stock,137.84,3.57,2.659
COO,The Cooper Companies Inc. Common Stock,407.12,16.65,4.264
COP,ConocoPhillips Common Stock,94.82,-0.23,-0.242
CP,Canadian Pacific Railway Limited Common Stock,79.43,2.48,3.223
CPB,Campbell Soup Company Common Stock,42.66,-0.81,-1.863
CPNG,Coupang Inc. Class A Common Stock,18.09,2.64,17.087
CPT,Camden Property Trust Common Stock,166.66,0.91,0.549
CRH,CRH PLC American Depositary Shares,43.94,0.26,0.595
CRL,Charles River Laboratories International Inc. Common Stock,270.77,11.54,4.452
CS,Credit Suisse Group American Depositary Shares,7.98,0.39,5.138
CSL,Carlisle Companies Incorporated Common Stock,246.48,7.90,3.311
CTLT,Catalent Inc. Common Stock,102.82,6.25,6.472
CTRA,Coterra Energy Inc. Common Stock,23.47,0.04,0.171
CTVA,Corteva Inc. Common Stock ,54.76,-0.23,-0.418
CUBE,CubeSmart Common Shares,49.66,0.52,1.058
CUK,Carnival Plc ADS ADS,18.07,1.28,7.624
CVE,Cenovus Energy Inc Common Stock,14.90,-0.05,-0.334
CVNA,Carvana Co. Class A Common Stock,129.45,9.01,7.481
CVS,CVS Health Corporation Common Stock,107.11,0.13,0.122
D,Dominion Energy Inc. Common Stock,80.76,-0.26,-0.321
DAL,Delta Air Lines Inc. Common Stock,36.93,2.07,5.938
DAR,Darling Ingredients Inc. Common Stock,73.90,3.15,4.452
DASH,DoorDash Inc. Class A Common Stock,90.50,10.73,13.451
DB,Deutsche Bank AG Common Stock,12.21,0.84,7.388
DD,DuPont de Nemours Inc. Common Stock,74.24,2.37,3.298
DE,Deere & Company Common Stock,388.20,-0.27,-0.07
DELL,Dell Technologies Inc. Class C Common Stock ,51.97,-0.11,-0.211
DEO,Diageo plc Common Stock,190.85,7.93,4.335
DFS,Discover Financial Services Common Stock,114.15,3.86,3.50
DG,Dollar General Corporation Common Stock,212.49,-1.76,-0.821
DGX,Quest Diagnostics Incorporated Common Stock,143.29,1.64,1.158
DHI,D.R. Horton Inc. Common Stock,81.74,1.33,1.654
DHR,Danaher Corporation Common Stock,277.92,7.03,2.595
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),2.55,0.75,41.667
DLR,Digital Realty Trust Inc. Common Stock,136.07,0.92,0.681
DOV,Dover Corporation Common Stock,155.80,3.61,2.372
DOW,Dow Inc. Common Stock ,59.64,0.77,1.308
DPZ,Domino's Pizza Inc Common Stock,405.47,15.56,3.991
DRE,Duke Realty Corporation Common Stock,54.87,0.77,1.423
DRI,Darden Restaurants Inc. Common Stock,129.68,5.30,4.261
DT,Dynatrace Inc. Common Stock,42.56,2.96,7.475
DTE,DTE Energy Company Common Stock,127.79,0.03,0.023
DUK,Duke Energy Corporation (Holding Company) Common Stock,105.97,-0.72,-0.675
DVA,DaVita Inc. Common Stock,112.34,1.71,1.546
DVN,Devon Energy Corporation Common Stock,52.46,-0.55,-1.038
E,ENI S.p.A. Common Stock,28.15,-0.05,-0.177
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),6.54,0.03,0.461
EC,Ecopetrol S.A. American Depositary Shares,16.66,-0.01,-0.06
ECL,Ecolab Inc. Common Stock,170.76,2.94,1.752
ED,Consolidated Edison Inc. Common Stock,89.64,-0.76,-0.841
EFX,Equifax Inc. Common Stock,233.83,3.04,1.317
EIX,Edison International Common Stock,66.31,0.18,0.272
EL,Estee Lauder Companies Inc. (The) Common Stock,270.88,11.98,4.627
ELAN,Elanco Animal Health Incorporated Common Stock,26.41,0.94,3.691
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),6.80,0.07,1.04
ELS,Equity Lifestyle Properties Inc. Common Stock,74.83,1.13,1.533
EMN,Eastman Chemical Company Common Stock,107.10,1.10,1.038
EMR,Emerson Electric Company Common Stock,93.76,1.11,1.198
ENB,Enbridge Inc Common Stock,44.02,-0.04,-0.091
ENIA,Enel Americas S.A. American Depositary Shares,5.71,0.15,2.698
EOG,EOG Resources Inc. Common Stock,113.00,-0.82,-0.72
EPAM,EPAM Systems Inc. Common Stock,281.72,56.68,25.187
EPD,Enterprise Products Partners L.P. Common Stock,24.12,-0.06,-0.248
EQH,Equitable Holdings Inc. Common Stock,31.54,1.05,3.444
EQNR,Equinor ASA,32.27,0.08,0.249
EQR,Equity Residential Common Shares of Beneficial Interest,88.22,0.83,0.95
ES,Eversource Energy (D/B/A) Common Stock,84.03,-0.14,-0.166
ESS,Essex Property Trust Inc. Common Stock,342.41,7.14,2.13
ET,Energy Transfer LP Common Units ,9.84,0.09,0.923
ETN,Eaton Corporation PLC Ordinary Shares,153.34,3.07,2.043
ETR,Entergy Corporation Common Stock,110.52,-0.73,-0.656
EVRG,Evergy Inc. Common Stock,64.68,-0.19,-0.293
EW,Edwards Lifesciences Corporation Common Stock,109.79,3.64,3.429
